year,pft7_hydraulic,pft7_cstarvation,pft7_fire,pft9_hydraulic,pft9_cstarvation,pft9_fire,pft10_hydraulic,pft10_cstarvation,pft10_fire
1904.5,0,24.49174,0,0,12.071341,0,0,0.0033349633,0
1904.5833,0,21.061006,0,0,3.7799972,0,0,0.0027679934,0
1904.6667,0,18.755149,0,0,3.1648069,0,0,0.0023664141,0
1904.75,0,19.265411,0,0,2.5011314,0,0,0.00148303,0
1904.8333,36.719056,25.178066,0,172.40543,2.2439769,0,16.517111,0.001205434,0
1904.9167,72.6631,30.919382,0,339.89904,2.1115595,0,30.468753,0.0010957756,0
1905,71.596921,25.888227,0,333.20393,1.8817417,0,27.312306,0.00087438393,0
1905.0833,70.601355,31.013225,0,327.1368,1.773409,0,24.636172,0.00079238029,0
1905.1667,69.620473,35.878453,0,321.19269,1.6717965,0,22.238871,0.00071818634,0
1905.25,68.53924,40.335528,0,315.17211,1.5731285,0,20.013484,0.00064842622,0
1905.3333,45.778062,44.495891,0,210.1488,1.48283,0,12.415467,0.00058797208,0
1905.4167,0,33.933582,0,0,6.5033959,0,0,0.0032427463,0
1905.5,0,29.63538,0,0,5.5399438,0,0,0.0031384561,0
1905.5833,0,25.457122,0,0,4.6291987,0,0,0.0027758074,0
1905.6667,0,23.923016,0,0,4.2343522,0,0,0.0024522147,0
1905.75,0,21.907603,0,0,3.447871,0,0,0.001639402,0
1905.8333,0,22.210446,0,0,2.9829669,0,0,0.0011712637,0
1905.9167,0,28.213429,0,0,2.8865485,0,0,0.0011435791,0
1906,0,23.494313,0,0,2.5217727,0,0,0.0010343965,0
1906.0833,0,29.283243,0,0,2.4522984,0,0,0.0010150166,0
1906.1667,0,34.929897,0,0,2.3858827,0,0,0.00099605916,0
1906.25,0,35.619914,0,0,2.3201516,0,0,0.00097685139,0
1906.3333,0,35.641775,0,0,2.2575541,0,0,0.00095810595,0
1906.4167,0,30.428668,0,0,9.8258796,0,0,0.002455044,0
1906.5,0,27.530484,0,0,10.763318,0,0,0.0024744925,0
1906.5833,0,25.991995,0,0,9.1690205,0,0,0.002147124,0
1906.6667,0,26.453868,0,0,7.9881736,0,0,0.0019243717,0
1906.75,0,29.117906,0,0,7.3164628,0,0,0.0017461906,0
1906.8333,19.791585,31.725859,0,99.425721,5.907231,0,10.970473,0.00081857155,0
1906.9167,73.514199,34.747142,0,368.29519,5.6214486,0,38.383599,0.00074706878,0
1907,72.432301,27.817011,0,361.15549,4.8868335,0,34.365406,0.00063961793,0
1907.0833,71.466866,31.971345,0,354.48923,4.6454363,0,30.945403,0.00057353525,0
1907.1667,70.534286,35.681888,0,347.96686,4.4168715,0,27.884719,0.00051446656,0
1907.25,69.51251,38.350779,0,341.36422,4.1930468,0,25.047242,0.00045985787,0
1907.3333,66.250121,40.907841,0,324.19602,3.9817394,0,21.821932,0.00041123821,0
1907.4167,0,41.383476,0,0,10.074642,0,0,0.0023883928,0
1907.5,0,40.532642,0,0,13.01675,0,0,0.0030404781,0
1907.5833,0,38.813028,0,0,12.009321,0,0,0.0026396712,0
1907.6667,0,37.041548,0,0,11.001848,0,0,0.0023457873,0
1907.75,0,36.033657,0,0,9.1678467,0,0,0.0015237302,0
1907.8333,59.347548,37.862533,0,285.82679,8.2460579,0,23.47621,0.0011786639,0
1907.9167,70.253707,41.553049,0,337.02253,7.7054885,0,25.454071,0.0010614375,0
1908,69.187697,42.580767,0,330.57699,6.9548524,0,22.761176,0.00081221162,0
1908.0833,68.026335,44.744767,0,324.55003,6.5221321,0,20.471,0.000735698,0
1908.1667,66.991101,47.517356,0,318.64418,6.1182023,0,18.421305,0.00066696282,0
1908.25,63.547587,21.818634,0,312.65766,5.7280076,0,16.52089,0.00060222274,0
1908.3333,28.185003,18.407141,0,139.27949,5.3869103,0,6.8963005,0.00055115398,0
1908.4167,0,4.1836789,0,0,12.538457,0,0,0.0031952816,0
1908.5,0,4.618418,0,0,10.5334,0,0,0.0031128746,0
1908.5833,0,5.5014682,0,0,9.2693526,0,0,0.0027631942,0
1908.6667,0,6.5262417,0,0,8.3381867,0,0,0.0024445368,0
1908.75,0,7.6143505,0,0,6.9116817,0,0,0.0016904558,0
1908.8333,63.191662,8.9330913,0,322.57608,6.0259378,0,27.430279,0.0011819619,0
1908.9167,69.314882,11.681836,0,352.01148,5.611356,0,27.096732,0.0010621794,0
1909,68.420633,10.920737,0,345.30791,5.1416718,0,23.915317,0.00087413081,0
1909.0833,67.625119,13.416504,0,339.07281,4.8034052,0,21.253138,0.0007906079,0
1909.1667,66.839562,17.226876,0,332.96703,4.4892522,0,18.909405,0.0007152532,0
1909.25,65.988567,22.147852,0,326.77598,4.1874348,0,16.770682,0.00064497289,0
1909.3333,39.977853,27.001395,0,197.27331,3.916333,0,9.3369021,0.00058545383,0
1909.4167,0,9.411882,0,0,11.052517,0,0,0.0017120648,0
1909.5,0,9.6041285,0,0,8.5292393,0,0,0.0017979229,0
1909.5833,0,12.051879,0,0,7.3740011,0,0,0.0016494365,0
1909.6667,0,14.280644,0,0,6.9017987,0,0,0.0014960638,0
1909.75,0,15.935663,0,0,5.8251742,0,0,0.00093533277,0
1909.8333,9.7400424,18.13762,0,49.111561,5.2953053,0,5.1507369,0.00072485116,0
1909.9167,72.46671,20.574397,0,364.25212,4.9787895,0,36.117728,0.00066939677,0
1910,71.302274,21.418212,0,357.11726,4.4776628,0,32.042525,0.00055858778,0
1910.0833,69.367407,16.426367,0,350.46129,4.1778726,0,28.496718,0.00050051738,0
1910.1667,68.529353,18.109735,0,343.99421,3.905601,0,25.408412,0.00044989626,0
1910.25,67.652554,20.27683,0,337.44881,3.6433099,0,22.513846,0.00040301037,0
1910.3333,55.908814,20.91981,0,278.06931,3.4008939,0,16.856351,0.00036149071,0
1910.4167,0,10.397626,0,0,9.8285274,0,0,0.0015781966,0
1910.5,0,4.7799104,0,0,12.88711,0,0,0.001831342,0
1910.5833,0,2.8899985,0,0,11.280504,0,0,0.0013726353,0
1910.6667,0,2.8984707,0,0,8.1672398,0,0,0.0011348682,0
1910.75,0,3.1269572,0,0,3.0523804,0,0,0.00076838717,0
1910.8333,0,4.015901,0,0,2.6305305,0,0,0.00056573822,0
