year,pft7_hydraulic,pft7_cstarvation,pft7_fire,pft9_hydraulic,pft9_cstarvation,pft9_fire,pft10_hydraulic,pft10_cstarvation,pft10_fire
1949.1667,0,12.286553,0,0,0.092466873,0,0,0,0
1949.25,0,22.133243,0,0,0.23685203,0,0,0.14027176,0
1949.3333,0,30.897622,0,0,0.26550462,0,0,0.21552828,0
1949.4167,0,36.68328,0,0,0.2398649,0,0,0.22587769,0
1949.5,0,5.1822113,0,0,0.15113214,0,0,0.043435896,0
1949.5833,0,0.74445427,0,0,0.095201802,0,0,0,0
1949.6667,0,0.92151162,0,0,0.059354027,0,0,0,0
1949.75,0,0.99159654,0,0,0.032206056,0,0,0,0
1949.8333,0,1.1681775,0,0,0.031620473,0,0,0,0
1949.9167,0,1.32209,0,0,0.03100138,0,0,0,0
1950,0,1.4406701,0,0,0.035914639,0,0,0,0
1950.0833,0,3.2883665,0,0,0.047304013,0,0,0,0
1950.1667,0,14.722137,0,0,0.054475615,0,0,0,0
1950.25,0,32.537503,0,0,0.066511839,0,0,0.0041423047,0
1950.3333,0,42.870883,0,0,0.32397194,0,0,0.091066995,0
1950.4167,0,37.664001,0,0,0.22246619,0,0,0.019028182,0
1950.5,0,2.0914016,0,0,0.10065249,0,0,6.1561665e-06,0
1950.5833,0,1.0054797,0,0,0.054398414,0,0,0,0
1950.6667,0,0.65490426,0,0,0.028565439,0,0,0,0
1950.75,0,0.41945005,0,0,0.024931929,0,0,0,0
1950.8333,0,0.56788359,0,0,0.026056979,0,0,0,0
1950.9167,0,0.76454875,0,0,0.078130453,0,0,0,0
1951,0,0.96881151,0,0,0.13404202,0,0,0,0
1951.0833,0,3.7777092,0,0,0.16986568,0,0,0,0
1951.1667,0,19.598495,0,0,0.18795183,0,0,0,0
1951.25,0,33.411847,0,0,0.19183518,0,0,0,0
1951.3333,0,39.871714,0,0,0.5017269,0,0,0.48967002,0
1951.4167,0,23.274711,0,0,0.60466331,0,0,0.81234838,0
1951.5,0,1.4437946,0,0,0.28514506,0,0,0.00089733897,0
1951.5833,0,1.1177799,0,0,0.18372638,0,0,0,0
1951.6667,0,0.81954641,0,0,0.1154747,0,0,0,0
1951.75,0,0.67686624,0,0,0.099573535,0,0,0,0
1951.8333,0,0.90950611,0,0,0.09863137,0,0,0,0
1951.9167,0,1.2374316,0,0,0.2110043,0,0,0,0
1952,0,2.1754932,0,0,0.48003325,0,0,0,0
1952.0833,0,11.186452,0,0,0.71548431,0,0,0,0
1952.1667,0,21.781304,0,0,0.85983547,0,0,0,0
1952.25,0,25.061012,0,0,1.7388568,0,0,1.6504128,0
1952.3333,0,14.693699,0,0,2.5396597,0,0,3.1575848,0
1952.4167,0,4.788122,0,0,1.911561,0,0,2.9838529,0
1952.5,0,1.1293439,0,0,0.49100819,0,0,1.0847757,0
1952.5833,0,0.07866202,0,0,0.052681811,0,0,0,0
